as_of_date,symbol,event_type,severity,metric,value,threshold,explanation
2026-09-09,000016.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,002731.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,002870.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,002998.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,301139.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,301699.SZ,EXTREME_RETURN_REVIEW,REVIEW,pct_change,101.448,35.0,"Large absolute return requires corporate-action, IPO, resumption or source review."
2026-09-09,600825.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-09,600929.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-09,605577.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-09,688291.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-09,688432.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-09,689009.SH,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-09,920268.BJ,EXTREME_RETURN_REVIEW,REVIEW,pct_change,57.193,35.0,"Large absolute return requires corporate-action, IPO, resumption or source review."
