as_of_date,symbol,event_type,severity,metric,value,threshold,explanation
2026-09-07,000016.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,002731.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,002743.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,002870.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,002998.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,301139.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-07,600825.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-07,600929.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-07,688432.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-07,689009.SH,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
