as_of_date,symbol,event_type,severity,metric,value,threshold,explanation
2026-09-22,000016.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,002731.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,002860.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,300082.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,300585.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,301139.SZ,SUSPENDED_SECURITY,INFO,data_status,SUSPENDED,,Source semantics indicate no valid completed-session trade.
2026-09-22,301686.SZ,EXTREME_RETURN_REVIEW,REVIEW,pct_change,683.285,35.0,"Large absolute return requires corporate-action, IPO, resumption or source review."
2026-09-22,601059.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,601198.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,601238.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,601995.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,603400.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,605303.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,688496.SH,ZERO_TURNOVER_REVIEW,REVIEW,turnover_cny,0.0,0.0,A traded row with zero turnover requires source or market-status review.
2026-09-22,920229.BJ,EXTREME_RETURN_REVIEW,REVIEW,pct_change,742.374,35.0,"Large absolute return requires corporate-action, IPO, resumption or source review."
