batch_id,p2a_overall_rank,security_id,stock_code_5d,security_name,source_url,governance_status,governance_date,governance_title,governance_summary,earnings_status,earnings_date,earnings_title,earnings_summary,catalyst_status,catalyst_date,catalyst_title,catalyst_summary
P2B_E2_RANKS_41_60_20260807,41,HKEX:01398,01398,ICBC,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=12593,EVIDENCE_PARTIAL,2026-06-26,Annual General Meeting for the Year 2025 Held on 26 June 2026 Poll Results,"AGM voting, director and board matters establish the current governance baseline; state ownership, capital allocation and bank-specific oversight remain open for deeper review.",EVIDENCE_PARTIAL,2026-04-29,Industrial and Commercial Bank of China Limited First Quarterly Report of 2026,Official Q1 results provide current operating and balance-sheet evidence but do not constitute a direct consensus-revision series.,RESEARCH_REQUIRED,2026-07-13,Completion of the Issuance of 2026 Tier 2 Capital Notes (Series 4) (Bond Connect),The capital-note issuance is relevant to funding and capital structure but does not by itself establish a sufficiently directional unresolved investment catalyst.
P2B_E2_RANKS_41_60_20260807,42,HKEX:03939,03939,WANGUO GOLD GP,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=76496,EVIDENCE_PARTIAL,2026-06-05,Poll Results of the Annual General Meeting held on 5 June 2026 and Retirement of Director and Change in Composition of Board Committee,"AGM results, director retirement and committee changes provide current governance evidence; ownership, board oversight and mine-level governance require deeper review.",EVIDENCE_COMPLETE,2026-01-29,Positive Profit Alert,Explicit issuer positive profit alert is direct management evidence of an upward earnings-expectation change; no alpha score is inferred.,EVIDENCE_PARTIAL,2026-07-27,Clarification Announcement regarding a Localized Slope Failure on a Non-Operational Bench at Gold Ridge Mine in Solomon Islands,"The mine-site slope event is dated and security-specific; operational scope, remediation cost and production implications require follow-up."
P2B_E2_RANKS_41_60_20260807,43,HKEX:00066,00066,MTR CORPORATION,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=111,EVIDENCE_PARTIAL,2026-05-27,"Poll Results of 2026 Annual General Meeting, Changes of Directors, and Changes in the Composition of Board Committees","AGM, director and committee changes establish the current governance baseline; major-project oversight and capital allocation require deeper review.",EVIDENCE_PARTIAL,2026-03-12,Announcement of Audited Results for the year ended 31 December 2025,Audited annual results provide current operating evidence but do not establish a direct current consensus-revision series.,RESEARCH_REQUIRED,2026-07-23,Date of Board Meeting,A routine board-meeting notice signals the reporting cycle but does not establish a distinct unresolved directional catalyst.
P2B_E2_RANKS_41_60_20260807,44,HKEX:02269,02269,WUXI BIO,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=156537,EVIDENCE_PARTIAL,2026-06-10,POLL RESULTS OF THE ANNUAL GENERAL MEETING HELD ON JUNE 10 2026,"AGM voting provides the current governance baseline; incentive structures, related-party exposure and capacity-allocation governance remain for deeper review.",EVIDENCE_COMPLETE,2026-02-11,POSITIVE PROFIT ALERT,Explicit issuer profit-alert disclosure is direct management expectation-change evidence for evidence collection; no alpha conclusion is inferred.,EVIDENCE_PARTIAL,2026-05-31,INSIDE INFORMATION - PRESENTATION AT 2026 BUSINESS UPDATE MEETING,"The business-update meeting is a dated security-specific operating event; order, capacity and margin implications require synthesis and follow-up."
P2B_E2_RANKS_41_60_20260807,45,HKEX:00001,00001,CKH HOLDINGS,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1,EVIDENCE_PARTIAL,2026-05-21,Poll Results of Annual General Meeting,"AGM results and earlier non-executive director retirements establish current governance evidence; conglomerate capital allocation and transaction oversight remain open.",EVIDENCE_PARTIAL,2026-03-19,RESULTS FOR THE YEAR ENDED 31 DECEMBER 2025,Official annual results provide current fundamentals but not direct current consensus-revision evidence.,EVIDENCE_PARTIAL,2026-04-27,EXTRAORDINARY GENERAL MEETING HELD ON 27 APRIL 2026 - POLL RESULTS; CONNECTED TRANSACTION AND DISCLOSEABLE TRANSACTION - DISPOSAL OF UK POWER NETWORKS,"The UK Power Networks disposal is a specific capital-allocation event; completion economics, proceeds and portfolio effects require tracking."
P2B_E2_RANKS_41_60_20260807,46,HKEX:02400,02400,XD INC,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000016859,EVIDENCE_PARTIAL,2026-05-28,POLL RESULTS OF THE 2026 ANNUAL GENERAL MEETING,"AGM voting provides the current governance baseline; founder control, incentive dilution and capital allocation require deeper review.",EVIDENCE_COMPLETE,2026-03-05,POSITIVE PROFIT ALERT,Explicit issuer profit-alert disclosure is direct management expectation-change evidence for evidence collection; no alpha conclusion is inferred.,EVIDENCE_PARTIAL,2026-06-10,HK$400 MILLION AUTOMATIC SHARE BUY-BACK PROGRAM,"The automatic buy-back program is a dated security-specific capital-return event; execution pace, valuation discipline and balance-sheet effect require follow-up."
P2B_E2_RANKS_41_60_20260807,47,HKEX:02145,02145,CHICMAX,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000178602,EVIDENCE_PARTIAL,2026-06-30,RESIGNATION OF EXECUTIVE DIRECTOR,"Executive-director resignation followed by proposed appointment is governance-relevant; succession, responsibilities and control continuity require follow-up.",EVIDENCE_COMPLETE,2026-03-06,POSITIVE PROFIT ALERT,Explicit issuer profit-alert disclosure is direct management expectation-change evidence for evidence collection; no alpha conclusion is inferred.,EVIDENCE_PARTIAL,2026-03-17,VOLUNTARY ANNOUNCEMENT - STRATEGIC COOPERATION FRAMEWORK AGREEMENT WITH SUZHOU KINTOR FOR KT-939,"The strategic cooperation is a dated company-specific product/R&D event; commercialization probability, economics and execution timing require synthesis."
P2B_E2_RANKS_41_60_20260807,48,HKEX:02698,02698,SOFTCARE,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000279937,EVIDENCE_PARTIAL,2026-06-02,VOLUNTARY ANNOUNCEMENT - INCREASE IN SHAREHOLDING BY THE CONTROLLING SHAREHOLDER,"Controlling-shareholder accumulation is relevant to ownership and alignment; concentration, governance implications and transaction context require deeper review.",EVIDENCE_COMPLETE,2026-07-21,POSITIVE PROFIT ALERT,Recent explicit issuer profit-alert disclosure is direct management expectation-change evidence for the current reporting cycle; no alpha conclusion is inferred.,EVIDENCE_PARTIAL,2026-07-21,POSITIVE PROFIT ALERT,"The current profit alert creates a dated near-term results catalyst; magnitude, sustainability and valuation impact require synthesis."
P2B_E2_RANKS_41_60_20260807,49,HKEX:00316,00316,OOIL,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=558,EVIDENCE_PARTIAL,2026-07-24,Change of Non-Executive Director and Composition of Risk Committee,"Recent board and risk-committee changes provide governance evidence; succession, independence and shipping-cycle risk oversight require follow-up.",EVIDENCE_PARTIAL,2026-07-13,Unaudited Quarterly Operational Update For The Second Quarter Ended 30th June 2026,Official Q2 operational data are current expectation-relevant evidence but do not constitute a direct consensus-revision series.,EVIDENCE_PARTIAL,2026-04-29,Discloseable Transaction - Construction of Twelve Vessels,"The vessel-order program is a specific fleet-capacity and capital-allocation event; delivery timing, cycle exposure and return economics require tracking."
P2B_E2_RANKS_41_60_20260807,50,HKEX:02314,02314,LEE & MAN PAPER,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=6560,EVIDENCE_PARTIAL,2026-04-29,Poll Results of the Annual General Meeting,"AGM voting provides current governance evidence; family ownership, related-party exposure and capital allocation require deeper review.",EVIDENCE_COMPLETE,2026-07-20,Positive Profit Alert,Recent explicit issuer profit-alert disclosure is direct management expectation-change evidence for the current reporting cycle; no alpha conclusion is inferred.,EVIDENCE_PARTIAL,2026-07-20,Positive Profit Alert,"The profit alert creates a dated near-term results catalyst; pulp/paper cycle persistence, margin drivers and valuation response require synthesis."
